2026-01-05 14:59:21 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-05 14:59:21 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-05 14:59:24 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-05 15:00:01 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-05 15:00:01 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-05 15:00:01 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-05 15:00:01 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-05 16:50:29 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 16:50:29 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 16:50:29 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-05 16:50:29 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-05 16:50:32 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-05 16:53:33 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-05 16:53:33 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-05 16:53:33 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-05 16:53:33 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-05 16:54:28 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 16:54:56 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 16:54:56 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 16:54:56 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-05 16:54:56 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-05 16:54:59 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-05 16:55:23 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-05 16:55:23 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-05 16:55:23 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-05 16:55:23 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-05 17:06:04 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 17:06:04 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 17:06:04 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-05 17:06:04 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-05 17:06:07 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-05 17:06:26 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-05 17:06:26 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-05 17:06:26 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-05 17:06:26 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-05 17:07:38 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 17:07:38 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 17:07:38 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-05 17:07:38 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-05 17:07:41 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-05 17:07:59 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-05 17:07:59 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
